Uniprot ID	Entry name	Status	Protein names	Gene names	Organism	Length	Source of Contamination
P00722	BGAL_ECOLI	reviewed	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	lacZ b0344 JW0335	Escherichia coli (strain K12)	1024	Bacterial Ecoli
P09870	CLOS_HATHI	reviewed	"Clostripain (EC 3.4.22.8) (Clostridiopeptidase B) [Cleaved into: Clostripain light chain; Clostripain heavy chain]"	cloSI	Hathewaya histolytica (Clostridium histolyticum)	526	Enzyme 
P30879	PEPC_PIG	reviewed	Gastricsin (EC 3.4.23.3) (Pepsinogen C) (Fragment)	PGC	Sus scrofa (Pig)	73	Enzyme 
P0C1U8	SSPA_STAAU	reviewed	Glutamyl endopeptidase (EC 3.4.21.19) (Endoproteinase Glu-C) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase)	sspA	Staphylococcus aureus	336	Enzyme 
Q2FZL2	SSPA_STAA8	reviewed	Glutamyl endopeptidase (EC 3.4.21.19) (Endoproteinase Glu-C) (Staphylococcal serine proteinase) (V8 protease) (V8 proteinase)	sspA SAOUHSC_00988	Staphylococcus aureus (strain NCTC 8325 / PS 47)	336	Enzyme 
P00698	LYSC_CHICK	reviewed	Lysozyme C (EC 3.2.1.17) (1,4-beta-N-acetylmuramidase C) (Allergen Gal d IV) (allergen Gal d 4)	LYZ	Gallus gallus (Chicken)	147	Enzyme 
Q7M135	LYSC_LYSEN	reviewed	Lysyl endopeptidase (EC 3.4.21.50) (Lys-C)		Lysobacter enzymogenes	269	Enzyme 
P13717	NUCA_SERMA	reviewed	"Nuclease (EC 3.1.30.2) (Endonuclease) [Cleaved into: Nuclease isoform Sm2; Nuclease isoform Sm3; Nuclease isoform Sm1]"	nucA nuc	Serratia marcescens	266	Enzyme 
P00791	PEPA_PIG	reviewed	Pepsin A (EC 3.4.23.1)	PGA	Sus scrofa (Pig)	385	Enzyme 
Q10735	PEPB_PIG	reviewed	Pepsin B (EC 3.4.23.2) (Parapepsin I) (Fragment)	PGB	Sus scrofa (Pig)	67	Enzyme 
P81054	PLMP_GRIFR	reviewed	Peptidyl-Lys metalloendopeptidase (MEP) (EC 3.4.24.20) (GfMEP)	MEP	Grifola frondosa (Maitake) (Polyporus frondosus)	348	Enzyme 
P15636	API_ACHLY	reviewed	Protease 1 (EC 3.4.21.50) (API) (Lysyl endopeptidase) (Protease I)		Achromobacter lyticus	653	Enzyme 
AAAA1	Anti-FLAG_AffinityTag 	manually added 	Anti-FLAG_AffinityTag 	FLAG			FLAG Affinity beads
Q9U6Y5	GFPL1_ZOASP	reviewed	GFP-like fluorescent chromoprotein FP506 (zFP506)		Zoanthus sp. (Green polyp)	231	GFP Fluorescent Protein
P42212	GFP_AEQVI	reviewed	Green fluorescent protein	GFP	Aequorea victoria (Water jellyfish) (Mesonema victoria)	238	GFP Fluorescent Protein
AAAA2	Anti-HA_AffinityTag	manually added 	Anti-HA_AffinityTag	HA			HA Affinity beads
A1A580	KR231_HUMAN	reviewed	Keratin-associated protein 23-1	KRTAP23-1 KAP23.1	Homo sapiens (Human)	65	Human skin and hair
A6NCN2	KR87P_HUMAN	reviewed	Putative keratin-87 protein (Keratin, hair, basic pseudogene 4) (Keratin-121 pseudogene)	KRT87P KRT121P KRTHBP4	Homo sapiens (Human)	255	Human skin and hair
A8MTY7	KRA97_HUMAN	reviewed	Keratin-associated protein 9-7 (Keratin-associated protein 9-like 1)	KRTAP9-7 KAP9.7 KRTAP9.7 KRTAP9L1	Homo sapiens (Human)	169	Human skin and hair
A8MUX0	KR161_HUMAN	reviewed	Keratin-associated protein 16-1	KRTAP16-1 KAP16.1	Homo sapiens (Human)	517	Human skin and hair
A8MVA2	KRA96_HUMAN	reviewed	Keratin-associated protein 9-6 (Keratin-associated protein 9-like 2)	KRTAP9-6 KAP9.6 KRTAP9.6 KRTAP9L2	Homo sapiens (Human)	160	Human skin and hair
A8MX34	KR291_HUMAN	reviewed	Keratin-associated protein 29-1 (Keratin-associated protein 29.2)	KRTAP29-1 KAP29.2	Homo sapiens (Human)	341	Human skin and hair
A8MXZ3	KRA91_HUMAN	reviewed	Keratin-associated protein 9-1 (Keratin-associated protein 9-like 3)	KRTAP9-1 KAP9.1 KRTAP9.1 KRTAP9L3	Homo sapiens (Human)	250	Human skin and hair
O43790	KRT86_HUMAN	reviewed	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)	KRT86 KRTHB6	Homo sapiens (Human)	486	Human skin and hair
