,A_LFQ,B_LFQ,A,B
sp|P36578|RL4_HUMAN,466932936.27537036,484408315.44570005,445273477.0318756,506067774.6891948
sp|Q9P258|RCC2_HUMAN,407484183.9302226,413813180.5879775,417785611.6324583,403511752.8857417
sp|O60518|RNBP6_HUMAN,4960386.374516514,2022553.3655254466,1295621.2466679448,5687318.493374016
sp|P55036|PSMD4_HUMAN,115742020.94987468,112357130.22767611,113087994.44403341,115011156.7335174
sp|A1X283|SPD2B_HUMAN,12471120.728621317,11805815.433172602,13801771.733223092,10475164.42857083
sp|Q9NQP4|PFD4_HUMAN,57679656.60293927,55263433.12026603,51658759.48341585,61284330.23978944
sp|Q01780|EXOSX_HUMAN,32021500.62272774,35741978.29113341,30358054.51756826,37405424.3962929
sp|Q9Y490|TLN1_HUMAN,2537151410.5524015,2609648642.159936,2544948561.884034,2601851490.8283033
sp|P35221|CTNA1_HUMAN,225968334.02204236,234103031.64081344,221399683.34428945,238671682.3185664
sp|Q96C19|EFHD2_HUMAN,22529061.11994341,24997388.190110605,22968431.07929188,24558018.230762143
sp|Q96T51|RUFY1_HUMAN,14816423.934287697,15677900.787512718,13917320.652613666,16577004.069186749
"sp|P0DMV9|HS71B_HUMAN,sp|P0DMV8|HS71A_HUMAN",1955852661.7318268,1924908153.9325209,1995588260.1711276,1885172555.49322
sp|Q14008|CKAP5_HUMAN,70259408.812233,78924689.56895109,75622079.32835245,73562019.05283163
sp|P31948|STIP1_HUMAN,1408508238.3149033,1374380068.8594177,1400094046.5577495,1382794260.616572
sp|O60716|CTND1_HUMAN,110191291.1280105,112143239.20392443,119037128.14836262,103297402.18357232
sp|Q14498|RBM39_HUMAN,180962187.9449969,181593625.59124047,194822464.5058594,167733349.03037792
sp|Q9NX63|MIC19_HUMAN,32488269.207276225,30612268.765371006,33123117.174811378,29977420.797835857
Q0IIK2,1140062801.1987102,1194865064.6320524,1046874895.8544917,1288052969.9762707
sp|P26641|EF1G_HUMAN,1553378686.9640653,1597529962.5509727,1492084427.2745223,1658824222.2405162
sp|P20810|ICAL_HUMAN,548505562.6091563,585085761.332478,539099224.0643862,594492099.8772478
sp|P31350|RIR2_HUMAN,77132527.27380596,68587576.9187878,78413605.14843044,67306499.04416335
sp|Q16643|DREB_HUMAN,230303470.27598846,225176839.80370697,228245785.5157376,227234524.56395784
